user_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,clv_hist_items,clv_value,rfm_cluster,dept_cluster
221,118.0,1,4,4,1,1,411,Recent Customers,4,12.0,2,2
222,132.0,2,16,2,3,3,233,Others,16,48.0,1,4
223,133.0,1,17,2,1,3,213,Others,17,51.0,1,0
224,123.0,1,9,3,1,2,312,Hibernating,9,27.0,1,1
227,134.0,1,12,2,1,3,213,Others,12,36.0,1,2
229,140.0,2,10,1,3,2,132,Others,10,30.0,1,3
230,131.0,1,3,2,1,1,211,Hibernating,3,9.0,1,0
232,132.0,2,24,2,3,4,234,Others,24,72.0,1,1
233,126.0,2,54,3,3,5,335,Loyal Customers,54,162.0,0,2
234,117.0,3,38,4,4,5,445,Champions,38,114.0,0,2
235,129.0,1,3,2,1,1,211,Hibernating,3,9.0,1,0
239,124.0,1,10,3,1,2,312,Hibernating,10,30.0,1,1
240,140.0,1,3,1,1,1,111,Hibernating,3,9.0,1,0
241,133.0,1,11,2,1,3,213,Others,11,33.0,1,0
243,126.0,3,32,3,4,5,345,Loyal Customers,32,96.0,0,1
244,130.0,1,7,2,1,2,212,Hibernating,7,21.0,1,0
247,133.0,2,12,2,3,3,233,Others,12,36.0,1,1
248,112.0,4,24,4,5,4,454,Champions,24,72.0,0,1
254,135.0,1,7,1,1,2,112,Hibernating,7,21.0,1,4
257,133.0,1,10,2,1,2,212,Hibernating,10,30.0,1,2
258,109.0,4,25,5,5,4,554,Champions,25,75.0,0,0
260,126.0,2,14,3,3,3,333,Loyal Customers,14,42.0,1,1
261,139.0,1,8,1,1,2,112,Hibernating,8,24.0,1,2
262,110.0,4,17,5,5,3,553,Loyal Customers,17,51.0,0,3
264,123.0,2,44,3,3,5,335,Loyal Customers,44,132.0,0,3
268,117.0,1,8,4,1,2,412,Recent Customers,8,24.0,2,0
270,90.0,4,18,5,5,4,554,Champions,18,54.0,0,1
273,135.0,1,6,1,1,1,111,Hibernating,6,18.0,1,0
274,110.0,1,36,5,1,5,515,Recent Customers,36,108.0,2,0
275,123.0,2,24,3,3,4,334,Loyal Customers,24,72.0,1,2
276,140.0,1,6,1,1,1,111,Hibernating,6,18.0,1,3
278,121.0,8,47,3,5,5,355,Loyal Customers,47,141.0,3,2
279,123.0,1,14,3,1,3,313,Others,14,42.0,1,3
280,118.0,5,57,4,5,5,455,Champions,57,171.0,0,2
281,132.0,1,18,2,1,4,214,Others,18,54.0,1,1
284,126.0,1,29,3,1,4,314,Others,29,87.0,1,0
285,110.0,1,10,5,1,2,512,Recent Customers,10,30.0,2,1
289,93.0,3,42,5,4,5,545,Champions,42,126.0,0,1
290,119.0,3,112,4,4,5,445,Champions,112,336.0,3,0
294,138.0,1,5,1,1,1,111,Hibernating,5,15.0,1,2
295,134.0,1,24,2,1,4,214,Others,24,72.0,1,2
296,139.0,1,2,1,1,1,111,Hibernating,2,6.0,1,1
298,140.0,1,16,1,1,3,113,Others,16,48.0,1,0
300,135.0,1,2,1,1,1,111,Hibernating,2,6.0,1,3
301,119.0,3,23,4,4,4,444,Champions,23,69.0,0,0
303,136.0,1,2,1,1,1,111,Hibernating,2,6.0,1,1
304,122.0,2,17,3,3,3,333,Loyal Customers,17,51.0,1,0
307,115.0,2,8,4,3,2,432,Others,8,24.0,2,2
309,139.0,1,19,1,1,4,114,Others,19,57.0,1,2
310,128.0,3,24,2,4,4,244,At Risk,24,72.0,0,4
311,129.0,1,5,2,1,1,211,Hibernating,5,15.0,1,1
313,132.0,4,32,2,5,5,255,At Risk,32,96.0,0,1
314,131.0,1,1,2,1,1,211,Hibernating,1,3.0,1,0
315,120.0,1,12,3,1,3,313,Others,12,36.0,2,2
318,132.0,1,1,2,1,1,211,Hibernating,1,3.0,1,4
321,96.0,3,36,5,4,5,545,Champions,36,108.0,0,1
322,130.0,1,4,2,1,1,211,Hibernating,4,12.0,1,1
323,117.0,5,85,4,5,5,455,Champions,85,255.0,3,0
324,126.0,1,10,3,1,2,312,Hibernating,10,30.0,1,2
327,111.0,4,67,4,5,5,455,Champions,67,201.0,0,0
329,130.0,1,1,2,1,1,211,Hibernating,1,3.0,1,3
331,91.0,2,6,5,3,1,531,Others,6,18.0,2,0
334,113.0,5,80,4,5,5,455,Champions,80,240.0,3,2
338,110.0,1,3,5,1,1,511,Recent Customers,3,9.0,2,3
342,110.0,1,24,5,1,4,514,Recent Customers,24,72.0,2,0
344,110.0,1,5,5,1,1,511,Recent Customers,5,15.0,2,3
348,121.0,2,14,3,3,3,333,Loyal Customers,14,42.0,2,2
351,107.0,3,38,5,4,5,545,Champions,38,114.0,0,2
353,136.0,1,7,1,1,2,112,Hibernating,7,21.0,1,0
354,110.0,1,2,5,1,1,511,Recent Customers,2,6.0,2,4
359,112.0,2,21,4,3,4,434,Loyal Customers,21,63.0,2,1
361,114.0,2,31,4,3,5,435,Loyal Customers,31,93.0,2,2
362,101.0,3,22,5,4,4,544,Champions,22,66.0,0,2
363,129.0,2,43,2,3,5,235,Others,43,129.0,0,2
364,130.0,1,14,2,1,3,213,Others,14,42.0,1,1
369,121.0,1,6,3,1,1,311,Hibernating,6,18.0,1,1
370,93.0,4,51,5,5,5,555,Champions,51,153.0,0,0
372,140.0,1,3,1,1,1,111,Hibernating,3,9.0,1,0
373,116.0,2,16,4,3,3,433,Loyal Customers,16,48.0,2,2
374,124.0,1,1,3,1,1,311,Hibernating,1,3.0,1,0
376,110.0,1,11,5,1,3,513,Recent Customers,11,33.0,2,0
379,128.0,1,11,2,1,3,213,Others,11,33.0,1,2
381,114.0,2,51,4,3,5,435,Loyal Customers,51,153.0,0,2
382,132.0,1,9,2,1,2,212,Hibernating,9,27.0,1,3
385,85.0,2,18,5,3,4,534,Loyal Customers,18,54.0,2,3
389,114.0,2,27,4,3,4,434,Loyal Customers,27,81.0,2,2
391,133.0,1,3,2,1,1,211,Hibernating,3,9.0,1,2
394,140.0,1,45,1,1,5,115,Others,45,135.0,1,2
398,125.0,2,24,3,3,4,334,Loyal Customers,24,72.0,1,1
403,112.0,4,54,4,5,5,455,Champions,54,162.0,0,2
404,134.0,1,5,2,1,1,211,Hibernating,5,15.0,1,1
406,137.0,1,10,1,1,2,112,Hibernating,10,30.0,1,2
407,115.0,1,32,4,1,5,415,Recent Customers,32,96.0,2,2
409,124.0,6,55,3,5,5,355,Loyal Customers,55,165.0,3,2
410,125.0,2,26,3,3,4,334,Loyal Customers,26,78.0,1,0
411,139.0,2,6,1,3,1,131,Others,6,18.0,1,0
414,110.0,1,9,5,1,2,512,Recent Customers,9,27.0,2,2
415,103.0,3,20,5,4,4,544,Champions,20,60.0,0,2
416,110.0,1,6,5,1,1,511,Recent Customers,6,18.0,2,3
417,89.0,2,17,5,3,3,533,Loyal Customers,17,51.0,2,0
422,132.0,1,12,2,1,3,213,Others,12,36.0,1,2
423,103.0,4,8,5,5,2,552,Others,8,24.0,0,3
426,111.0,2,6,4,3,1,431,Others,6,18.0,2,0
427,110.0,1,3,5,1,1,511,Recent Customers,3,9.0,2,1
428,110.0,1,8,5,1,2,512,Recent Customers,8,24.0,2,1
431,132.0,2,2,2,3,1,231,Others,2,6.0,1,0
432,130.0,2,21,2,3,4,234,Others,21,63.0,1,2
436,134.0,1,3,2,1,1,211,Hibernating,3,9.0,1,4
437,116.0,2,19,4,3,4,434,Loyal Customers,19,57.0,2,0
441,95.0,3,7,5,4,2,542,Others,7,21.0,2,4
442,110.0,1,10,5,1,2,512,Recent Customers,10,30.0,2,2
443,134.0,1,13,2,1,3,213,Others,13,39.0,1,2
444,133.0,1,37,2,1,5,215,Others,37,111.0,1,1
446,110.0,1,5,5,1,1,511,Recent Customers,5,15.0,2,0
448,131.0,1,13,2,1,3,213,Others,13,39.0,1,0
449,137.0,1,29,1,1,4,114,Others,29,87.0,1,0
450,80.0,3,46,5,4,5,545,Champions,46,138.0,0,2
451,132.0,1,8,2,1,2,212,Hibernating,8,24.0,1,2
452,131.0,2,27,2,3,4,234,Others,27,81.0,1,2
453,117.0,2,12,4,3,3,433,Loyal Customers,12,36.0,2,2
454,124.0,3,30,3,4,5,345,Loyal Customers,30,90.0,0,0
458,117.0,1,10,4,1,2,412,Recent Customers,10,30.0,2,4
459,118.0,2,9,4,3,2,432,Others,9,27.0,2,2
460,110.0,1,16,5,1,3,513,Recent Customers,16,48.0,2,0
464,110.0,1,8,5,1,2,512,Recent Customers,8,24.0,2,2
465,122.0,3,31,3,4,5,345,Loyal Customers,31,93.0,0,2
466,106.0,2,14,5,3,3,533,Loyal Customers,14,42.0,2,3
474,123.0,3,15,3,4,3,343,Loyal Customers,15,45.0,1,0
475,115.0,5,32,4,5,5,455,Champions,32,96.0,0,0
476,84.0,2,26,5,3,4,534,Loyal Customers,26,78.0,2,2
478,110.0,1,11,5,1,3,513,Recent Customers,11,33.0,2,0
479,132.0,1,7,2,1,2,212,Hibernating,7,21.0,1,4
480,126.0,4,55,3,5,5,355,Loyal Customers,55,165.0,0,2
481,123.0,1,8,3,1,2,312,Hibernating,8,24.0,1,2
482,126.0,1,21,3,1,4,314,Others,21,63.0,1,0
484,140.0,1,3,1,1,1,111,Hibernating,3,9.0,1,2
487,107.0,4,63,5,5,5,555,Champions,63,189.0,0,2
492,130.0,1,12,2,1,3,213,Others,12,36.0,1,3
495,75.0,4,52,5,5,5,555,Champions,52,156.0,0,2
496,132.0,2,5,2,3,1,231,Others,5,15.0,1,1
497,117.0,1,27,4,1,4,414,Recent Customers,27,81.0,2,2
504,130.0,1,3,2,1,1,211,Hibernating,3,9.0,1,4
506,110.0,1,5,5,1,1,511,Recent Customers,5,15.0,2,2
507,125.0,1,16,3,1,3,313,Others,16,48.0,1,0
508,134.0,1,19,2,1,4,214,Others,19,57.0,1,3
509,110.0,1,6,5,1,1,511,Recent Customers,6,18.0,2,2
510,133.0,1,5,2,1,1,211,Hibernating,5,15.0,1,4
511,112.0,1,9,4,1,2,412,Recent Customers,9,27.0,2,0
515,136.0,1,3,1,1,1,111,Hibernating,3,9.0,1,4
516,115.0,6,76,4,5,5,455,Champions,76,228.0,3,2
517,133.0,1,10,2,1,2,212,Hibernating,10,30.0,1,1
519,140.0,1,2,1,1,1,111,Hibernating,2,6.0,1,4
520,127.0,3,25,3,4,4,344,Loyal Customers,25,75.0,0,2
525,124.0,2,7,3,3,2,332,Others,7,21.0,1,2
529,121.0,4,42,3,5,5,355,Loyal Customers,42,126.0,0,2
531,114.0,2,8,4,3,2,432,Others,8,24.0,2,0
532,140.0,1,14,1,1,3,113,Others,14,42.0,1,2
534,121.0,1,1,3,1,1,311,Hibernating,1,3.0,1,1
535,116.0,3,28,4,4,4,444,Champions,28,84.0,0,2
539,129.0,1,15,2,1,3,213,Others,15,45.0,1,0
542,110.0,1,2,5,1,1,511,Recent Customers,2,6.0,2,4
547,130.0,2,48,2,3,5,235,Others,48,144.0,0,0
548,110.0,1,8,5,1,2,512,Recent Customers,8,24.0,2,0
556,133.0,1,17,2,1,3,213,Others,17,51.0,1,0
558,131.0,2,36,2,3,5,235,Others,36,108.0,1,0
560,139.0,1,4,1,1,1,111,Hibernating,4,12.0,1,4
561,110.0,1,1,5,1,1,511,Recent Customers,1,3.0,2,4
562,124.0,3,3,3,4,1,341,Others,3,9.0,1,3
563,140.0,1,8,1,1,2,112,Hibernating,8,24.0,1,3
564,110.0,1,20,5,1,4,514,Recent Customers,20,60.0,2,3
566,128.0,1,23,2,1,4,214,Others,23,69.0,1,0
567,119.0,1,13,4,1,3,413,Recent Customers,13,39.0,2,2
573,122.0,2,9,3,3,2,332,Others,9,27.0,1,4
574,133.0,1,5,2,1,1,211,Hibernating,5,15.0,1,1
576,126.0,1,4,3,1,1,311,Hibernating,4,12.0,1,0
578,140.0,1,11,1,1,3,113,Others,11,33.0,1,4
582,117.0,2,26,4,3,4,434,Loyal Customers,26,78.0,2,2
583,121.0,2,51,3,3,5,335,Loyal Customers,51,153.0,0,2
584,128.0,1,7,2,1,2,212,Hibernating,7,21.0,1,2
587,122.0,1,10,3,1,2,312,Hibernating,10,30.0,1,2
590,140.0,1,8,1,1,2,112,Hibernating,8,24.0,1,2
593,127.0,2,3,3,3,1,331,Others,3,9.0,1,2
594,112.0,1,4,4,1,1,411,Recent Customers,4,12.0,2,4
596,123.0,6,78,3,5,5,355,Loyal Customers,78,234.0,3,2
599,140.0,1,3,1,1,1,111,Hibernating,3,9.0,1,3
600,140.0,1,12,1,1,3,113,Others,12,36.0,1,1
603,99.0,2,30,5,3,5,535,Loyal Customers,30,90.0,2,0
606,132.0,1,8,2,1,2,212,Hibernating,8,24.0,1,1
607,100.0,2,32,5,3,5,535,Loyal Customers,32,96.0,2,0
611,75.0,3,30,5,4,5,545,Champions,30,90.0,0,0
612,108.0,3,58,5,4,5,545,Champions,58,174.0,0,2
613,133.0,1,16,2,1,3,213,Others,16,48.0,1,2
616,107.0,5,48,5,5,5,555,Champions,48,144.0,0,2
618,122.0,3,62,3,4,5,345,Loyal Customers,62,186.0,0,0
622,140.0,1,6,1,1,1,111,Hibernating,6,18.0,1,3
623,120.0,1,16,3,1,3,313,Others,16,48.0,2,0
624,110.0,1,13,5,1,3,513,Recent Customers,13,39.0,2,3
625,118.0,1,18,4,1,4,414,Recent Customers,18,54.0,2,3
626,131.0,5,47,2,5,5,255,At Risk,47,141.0,0,0
630,96.0,5,36,5,5,5,555,Champions,36,108.0,0,3
634,125.0,1,9,3,1,2,312,Hibernating,9,27.0,1,3
635,131.0,1,3,2,1,1,211,Hibernating,3,9.0,1,2
636,133.0,1,1,2,1,1,211,Hibernating,1,3.0,1,0
637,120.0,1,5,3,1,1,311,Hibernating,5,15.0,2,4
638,140.0,1,11,1,1,3,113,Others,11,33.0,1,0
641,134.0,1,12,2,1,3,213,Others,12,36.0,1,1
646,128.0,2,11,2,3,3,233,Others,11,33.0,1,1
649,134.0,2,28,2,3,4,234,Others,28,84.0,1,0
650,110.0,1,20,5,1,4,514,Recent Customers,20,60.0,2,1
651,140.0,1,9,1,1,2,112,Hibernating,9,27.0,1,1
652,122.0,6,42,3,5,5,355,Loyal Customers,42,126.0,0,0
653,111.0,2,27,4,3,4,434,Loyal Customers,27,81.0,2,2
655,116.0,4,33,4,5,5,455,Champions,33,99.0,0,2
658,114.0,2,47,4,3,5,435,Loyal Customers,47,141.0,0,2
661,123.0,4,24,3,5,4,354,Loyal Customers,24,72.0,0,2
667,107.0,7,93,5,5,5,555,Champions,93,279.0,3,0
669,133.0,1,6,2,1,1,211,Hibernating,6,18.0,1,2
670,110.0,1,9,5,1,2,512,Recent Customers,9,27.0,2,2
672,131.0,1,24,2,1,4,214,Others,24,72.0,1,2
675,129.0,1,14,2,1,3,213,Others,14,42.0,1,0
678,97.0,3,54,5,4,5,545,Champions,54,162.0,0,0
679,133.0,1,8,2,1,2,212,Hibernating,8,24.0,1,0
682,132.0,2,11,2,3,3,233,Others,11,33.0,1,3
683,134.0,1,19,2,1,4,214,Others,19,57.0,1,0
684,99.0,5,20,5,5,4,554,Champions,20,60.0,0,2
686,140.0,1,1,1,1,1,111,Hibernating,1,3.0,1,0
687,129.0,1,34,2,1,5,215,Others,34,102.0,1,0
688,123.0,3,12,3,4,3,343,Loyal Customers,12,36.0,1,4
690,103.0,10,75,5,5,5,555,Champions,75,225.0,3,2
691,105.0,4,11,5,5,3,553,Loyal Customers,11,33.0,0,0
692,105.0,2,22,5,3,4,534,Loyal Customers,22,66.0,2,2
694,119.0,1,4,4,1,1,411,Recent Customers,4,12.0,2,3
696,112.0,3,26,4,4,4,444,Champions,26,78.0,0,2
699,131.0,2,29,2,3,4,234,Others,29,87.0,1,2
700,138.0,1,8,1,1,2,112,Hibernating,8,24.0,1,1
702,135.0,2,5,1,3,1,131,Others,5,15.0,1,1
703,135.0,1,21,1,1,4,114,Others,21,63.0,1,0
706,134.0,1,1,2,1,1,211,Hibernating,1,3.0,1,0
710,133.0,1,6,2,1,1,211,Hibernating,6,18.0,1,1
713,110.0,1,11,5,1,3,513,Recent Customers,11,33.0,2,3
716,140.0,1,23,1,1,4,114,Others,23,69.0,1,2
717,119.0,1,1,4,1,1,411,Recent Customers,1,3.0,2,3
719,132.0,4,49,2,5,5,255,At Risk,49,147.0,0,2
721,133.0,1,12,2,1,3,213,Others,12,36.0,1,0
722,135.0,1,4,1,1,1,111,Hibernating,4,12.0,1,2
724,140.0,1,8,1,1,2,112,Hibernating,8,24.0,1,2
726,110.0,1,4,5,1,1,511,Recent Customers,4,12.0,2,2
727,103.0,2,33,5,3,5,535,Loyal Customers,33,99.0,0,2
729,107.0,6,31,5,5,5,555,Champions,31,93.0,0,3
732,124.0,2,8,3,3,2,332,Others,8,24.0,1,3
733,140.0,1,2,1,1,1,111,Hibernating,2,6.0,1,0
734,110.0,1,54,5,1,5,515,Recent Customers,54,162.0,0,2
735,140.0,1,23,1,1,4,114,Others,23,69.0,1,2
737,128.0,1,14,2,1,3,213,Others,14,42.0,1,2
739,110.0,1,8,5,1,2,512,Recent Customers,8,24.0,2,0
740,140.0,1,22,1,1,4,114,Others,22,66.0,1,0
741,126.0,1,8,3,1,2,312,Hibernating,8,24.0,1,2
742,82.0,3,34,5,4,5,545,Champions,34,102.0,0,0
747,127.0,1,15,3,1,3,313,Others,15,45.0,1,1
748,127.0,1,9,3,1,2,312,Hibernating,9,27.0,1,1
752,110.0,1,8,5,1,2,512,Recent Customers,8,24.0,2,3
756,133.0,1,13,2,1,3,213,Others,13,39.0,1,3
758,135.0,1,11,1,1,3,113,Others,11,33.0,1,0
761,125.0,1,12,3,1,3,313,Others,12,36.0,1,1
762,130.0,3,27,2,4,4,244,At Risk,27,81.0,0,2
763,140.0,1,4,1,1,1,111,Hibernating,4,12.0,1,2
766,134.0,1,14,2,1,3,213,Others,14,42.0,1,0
768,123.0,2,21,3,3,4,334,Loyal Customers,21,63.0,1,2
769,110.0,1,4,5,1,1,511,Recent Customers,4,12.0,2,1
771,110.0,1,8,5,1,2,512,Recent Customers,8,24.0,2,1
775,110.0,1,9,5,1,2,512,Recent Customers,9,27.0,2,2
777,110.0,1,3,5,1,1,511,Recent Customers,3,9.0,2,1
778,133.0,2,10,2,3,2,232,Others,10,30.0,1,2
782,118.0,1,17,4,1,3,413,Recent Customers,17,51.0,2,1
784,140.0,1,8,1,1,2,112,Hibernating,8,24.0,1,1
786,123.0,3,44,3,4,5,345,Loyal Customers,44,132.0,0,1
787,130.0,1,8,2,1,2,212,Hibernating,8,24.0,1,0
792,128.0,2,39,2,3,5,235,Others,39,117.0,1,0
795,125.0,1,2,3,1,1,311,Hibernating,2,6.0,1,0
797,129.0,1,7,2,1,2,212,Hibernating,7,21.0,1,3
800,124.0,1,4,3,1,1,311,Hibernating,4,12.0,1,1
803,80.0,2,18,5,3,4,534,Loyal Customers,18,54.0,2,2
804,118.0,1,9,4,1,2,412,Recent Customers,9,27.0,2,1
805,110.0,1,13,5,1,3,513,Recent Customers,13,39.0,2,1
806,137.0,1,1,1,1,1,111,Hibernating,1,3.0,1,1
807,123.0,2,2,3,3,1,331,Others,2,6.0,1,1
812,102.0,4,82,5,5,5,555,Champions,82,246.0,3,2
817,126.0,1,8,3,1,2,312,Hibernating,8,24.0,1,2
818,133.0,2,12,2,3,3,233,Others,12,36.0,1,3
824,122.0,1,2,3,1,1,311,Hibernating,2,6.0,1,3
829,140.0,1,6,1,1,1,111,Hibernating,6,18.0,1,2
831,127.0,1,6,3,1,1,311,Hibernating,6,18.0,1,0
833,110.0,1,28,5,1,4,514,Recent Customers,28,84.0,2,2
834,116.0,3,40,4,4,5,445,Champions,40,120.0,0,0
838,138.0,1,1,1,1,1,111,Hibernating,1,3.0,1,0
839,108.0,3,58,5,4,5,545,Champions,58,174.0,0,2
840,93.0,3,15,5,4,3,543,Loyal Customers,15,45.0,2,2
841,110.0,1,10,5,1,2,512,Recent Customers,10,30.0,2,1
842,123.0,1,8,3,1,2,312,Hibernating,8,24.0,1,0
844,118.0,3,19,4,4,4,444,Champions,19,57.0,0,2
845,129.0,3,31,2,4,5,245,At Risk,31,93.0,0,2
848,133.0,1,18,2,1,4,214,Others,18,54.0,1,0
849,93.0,5,24,5,5,4,554,Champions,24,72.0,0,2
